  dRA*cosD, d(DEC)/dt,  hEcl-Lon,hEcl-Lat,                r,       rdot,             delta,     deldot,       VmagSn,     VmagOb,     S-O-T,      PlAng,aid,RA_Hours,RA_Minutes,RA_Seconds,DEC_Degrees,DEC_Minutes,DEC_Seconds,Date
188.0651,38.66353,312.5757,3.1663,0.752159744,-1.898605,1.703492273,-4.8401375,37.3782963,66.0704016,9.6401,1.93596,1.1,20,8,13.24,-18,44,46.5,11-01-2010
188.0899,40.06641,314.2226,3.1353,0.751110856,-1.733218,1.700715566,-4.7748315,37.4223256,66.0650433,9.8977,1.94122,1.1,20,13,30.81,-18,29,1.7,12-01-2010
188.0902,41.44587,315.8738,3.1016,0.750158039,-1.5659562,1.697976945,-4.7082365,37.4623829,66.0541845,10.1575,1.94585,1.1,20,18,47.9,-18,12,43.4,13-01-2010
188.0661,42.80054,317.5288,3.0652,0.749302326,-1.3969893,1.695277181,-4.6402592,37.4984071,66.0377458,10.4193,1.94985,1.1,20,24,4.47,-17,55,52.3,14-01-2010
188.0182,44.12909,319.1873,3.0261,0.748544651,-1.226492,1.692617099,-4.5708064,37.5303426,66.0156681,10.683,1.9532,1.1,20,29,20.47,-17,38,29.1,15-01-2010
187.9468,45.43024,320.8488,2.9845,0.747885847,-1.054644,1.689997579,-4.4997852,37.5581399,65.9879122,10.9486,1.95591,1.1,20,34,35.85,-17,20,34.3,16-01-2010
187.8523,46.70281,322.5129,2.9403,0.747326641,-0.8816293,1.687419553,-4.4271051,37.5817555,65.9544583,11.2158,1.95797,1.1,20,39,50.56,-17,2,8.6,17-01-2010
187.7354,47.94567,324.1791,2.8935,0.746867654,-0.7076355,1.684884004,-4.3526785,37.6011524,65.915305,11.4846,1.95938,1.1,20,45,4.58,-16,43,12.8,18-01-2010
187.5967,49.15773,325.847,2.8442,0.746509394,-0.5328533,1.682391966,-4.2764211,37.6162997,65.8704684,11.7549,1.96014,1.1,20,50,17.85,-16,23,47.5,19-01-2010
187.4366,50.33802,327.5162,2.7925,0.746252262,-0.3574762,1.679944519,-4.1982522,37.6271736,65.8199808,12.0265,1.96025,1.1,20,55,30.35,-16,3,53.4,20-01-2010
187.256,51.48561,329.1861,2.7384,0.746096546,-0.1816994,1.677542791,-4.1180932,37.6337567,65.7638905,12.2993,1.9597,1.1,21,0,42.04,-15,43,31.5,21-01-2010
187.0554,52.59965,330.8563,2.682,0.746042418,-0.0057195,1.675187952,-4.0358663,37.6360385,65.7022621,12.5733,1.95849,1.1,21,5,52.88,-15,22,42.3,22-01-2010
186.8356,53.67938,332.5264,2.6233,0.74608994,0.1702662,1.672881221,-3.9514935,37.6340154,65.635179,12.8482,1.95662,1.1,21,11,2.85,-15,1,26.8,23-01-2010
