  dRA*cosD, d(DEC)/dt,  hEcl-Lon,hEcl-Lat,                r,       rdot,             delta,     deldot,       VmagSn,     VmagOb,     S-O-T,      PlAng,aid,RA_Hours,RA_Minutes,RA_Seconds,DEC_Degrees,DEC_Minutes,DEC_Seconds,Date
179.9341,67.38691,272.75,3.1136,0.806589969,-5.1159342,1.19426969,6.4313217,35.1889162,46.6737924,41.983,0.65888,1.1,22,1,48.69,-9,49,45.1,01-04-2023
179.7882,67.99525,274.1854,3.1428,0.803658904,-5.0336834,1.198045138,6.6434772,35.3027241,46.8667192,41.6886,0.61037,1.1,22,6,40.56,-9,22,40.5,02-04-2023
179.6388,68.56721,275.6312,3.1703,0.800776435,-4.9476507,1.201942414,6.8532067,35.4150972,47.0614069,41.3931,0.56194,1.1,22,11,31.8,-8,55,21.7,03-04-2023
179.4865,69.10279,277.0875,3.1959,0.79794475,-4.8578264,1.205960051,7.0602774,35.5259315,47.2577468,41.0966,0.51363,1.1,22,16,22.43,-8,27,49.7,04-04-2023
179.3316,69.60203,278.5541,3.2196,0.795166039,-4.764206,1.210096445,7.2644494,35.6351214,47.4556136,40.799,0.46545,1.1,22,21,12.46,-8,0,5.2,05-04-2023
179.1747,70.06498,280.031,3.2413,0.792442495,-4.666791,1.214349851,7.4654765,35.7425597,47.6548602,40.5007,0.41744,1.1,22,26,1.92,-7,32,9.2,06-04-2023
179.0161,70.49167,281.518,3.2611,0.789776307,-4.5655884,1.21871838,7.663109,35.8481383,47.8553135,40.2017,0.36962,1.1,22,30,50.8,-7,4,2.5,07-04-2023
178.8559,70.88214,283.015,3.2787,0.78716966,-4.4606116,1.2232,7.8570993,35.9517481,48.0567713,39.902,0.32202,1.1,22,35,39.14,-6,35,46,08-04-2023
178.6944,71.23639,284.5219,3.2942,0.784624727,-4.3518804,1.227792538,8.0472083,36.0532793,48.2590025,39.6018,0.27464,1.1,22,40,26.95,-6,7,20.5,09-04-2023
178.5314,71.55441,286.0386,3.3075,0.78214367,-4.2394214,1.232493689,8.2332135,36.1526212,48.4617496,39.3013,0.22752,1.1,22,45,14.24,-5,38,47,10-04-2023
178.367,71.83616,287.5648,3.3186,0.779728631,-4.1232678,1.237301022,8.4149157,36.2496633,48.6647341,39.0004,0.18068,1.1,22,50,1.04,-5,10,6.2,11-04-2023
178.2011,72.08156,289.1003,3.3273,0.777381734,-4.0034603,1.242212003,8.5921447,36.3442947,48.8676646,38.6994,0.13414,1.1,22,54,47.36,-4,41,19.1,12-04-2023
178.0334,72.29053,290.6451,3.3337,0.775105074,-3.8800468,1.247224006,8.7647637,36.436405,49.0702443,38.3984,0.08791,1.1,22,59,33.21,-4,12,26.5,13-04-2023
177.8638,72.46299,292.1988,3.3377,0.772900719,-3.7530827,1.25233434,8.9326724,36.525884,49.2721813,38.0974,0.04202,1.1,23,4,18.62,-3,43,29.4,14-04-2023
177.6921,72.59886,293.7613,3.3393,0.770770701,-3.6226311,1.257540263,9.0958081,36.6126225,49.4731976,37.7965,-0.00351,1.1,23,9,3.59,-3,14,28.6,15-04-2023
177.5184,72.69813,295.3323,3.3383,0.768717015,-3.4887631,1.262839011,9.2541446,36.6965124,49.6730411,37.4959,-0.04867,1.1,23,13,48.14,-2,45,25,16-04-2023
177.3425,72.76082,296.9115,3.3348,0.76674161,-3.3515572,1.268227813,9.4076879,36.7774469,49.8714952,37.1957,-0.09343,1.1,23,18,32.3,-2,16,19.5,17-04-2023
177.1645,72.78707,298.4987,3.3288,0.764846389,-3.2111005,1.273703907,9.5564663,36.8553212,50.0683872,36.8959,-0.13777,1.1,23,23,16.07,-1,47,13,18-04-2023
176.9848,72.7771,300.0936,3.3202,0.763033204,-3.0674874,1.279264552,9.7005165,36.9300323,50.2635904,36.5967,-0.18169,1.1,23,27,59.48,-1,18,6.2,19-04-2023
176.8035,72.73125,301.6959,3.3089,0.761303847,-2.9208208,1.284907028,9.8398679,37.0014797,50.4570186,36.2981,-0.22515,1.1,23,32,42.55,0,49,0.1,20-04-2023
176.6212,72.64996,303.3052,3.295,0.759660051,-2.7712112,1.290628625,9.9745291,37.0695656,50.6486138,36.0003,-0.26815,1.1,23,37,25.3,0,19,55.5,21-04-2023
176.4382,72.53372,304.9213,3.2785,0.75810348,-2.6187769,1.29642663,10.1044808,37.1341954,50.8383295,35.7032,-0.31066,1.1,23,42,7.74,0,9,6.8,22-04-2023
176.2548,72.38307,306.5438,3.2592,0.756635731,-2.4636442,1.30229831,10.2296759,37.1952778,51.0261153,35.4071,-0.35267,1.1,23,46,49.9,0,38,5.8,23-04-2023
176.0715,72.19853,308.1724,3.2373,0.755258324,-2.3059464,1.308240901,10.350046,37.2527253,51.2119068,35.1118,-0.39417,1.1,23,51,31.8,1,7,0.9,24-04-2023
175.8884,71.98061,309.8066,3.2126,0.753972699,-2.1458244,1.314251593,10.4655107,37.3064544,51.3956206,34.8177,-0.43514,1.1,23,56,13.45,1,35,51.1,25-04-2023
175.7057,71.72983,311.4461,3.1852,0.752780214,-1.983426,1.320327529,10.5759869,37.3563861,51.577155,34.5247,-0.47557,1.1,0,0,54.87,2,4,35.7,26-04-2023
175.5233,71.44666,313.0906,3.1552,0.75168214,-1.8189058,1.326465806,10.6813954,37.4024461,51.7563948,34.2328,-0.51546,1.1,0,5,36.08,2,33,13.9,27-04-2023
175.3415,71.13156,314.7395,3.1225,0.750679654,-1.6524246,1.332663476,10.781666,37.4445651,51.9332162,33.9423,-0.55479,1.1,0,10,17.1,3,1,44.9,28-04-2023
175.16,70.785,316.3925,3.087,0.749773843,-1.4841492,1.338917554,10.8767378,37.482679,52.1074925,33.6531,-0.59355,1.1,0,14,57.96,3,30,7.9,29-04-2023
174.9789,70.40744,318.0492,3.049,0.748965693,-1.314252,1.345225022,10.9665591,37.5167294,52.2790983,33.3654,-0.63175,1.1,0,19,38.66,3,58,22.2,30-04-2023
174.7981,69.99937,319.7091,3.0083,0.748256089,-1.1429102,1.351582836,11.0510838,37.5466636,52.4479115,33.0792,-0.66936,1.1,0,24,19.23,4,26,27.1,01-05-2023
174.6175,69.56125,321.3719,2.965,0.747645813,-0.970306,1.357987923,11.1302671,37.5724349,52.6138142,32.7946,-0.7064,1.1,0,28,59.68,4,54,21.8,02-05-2023
174.4371,69.0936,323.037,2.9191,0.74713554,-0.7966252,1.364437186,11.2040611,37.594003,52.776689,32.5118,-0.74285,1.1,0,33,40.04,5,22,5.7,03-05-2023
174.2567,68.59691,324.704,2.8707,0.746725839,-0.6220572,1.370927496,11.2724101,37.6113338,52.9364147,32.2307,-0.77871,1.1,0,38,20.32,5,49,37.9,04-05-2023
174.0761,68.07165,326.3724,2.8199,0.746417165,-0.4467942,1.377455691,11.3352488,37.6243999,53.092858,31.9515,-0.81398,1.1,0,43,0.54,6,16,58,05-05-2023
173.8952,67.5183,328.0419,2.7666,0.746209864,-0.2710309,1.384018569,11.3925044,37.6331805,53.2458657,31.6742,-0.84866,1.1,0,47,40.72,6,44,5,06-05-2023
173.7135,66.93726,329.7119,2.711,0.746104169,-0.0949634,1.390612882,11.4441024,37.6376617,53.3952583,31.399,-0.88274,1.1,0,52,20.87,7,10,58.5,07-05-2023
173.5307,66.32892,331.382,2.653,0.746100197,0.0812112,1.397235346,11.4899779,37.6378362,53.5408277,31.126,-0.91624,1.1,0,57,1.01,7,37,37.8,08-05-2023
173.3461,65.69359,333.0517,2.5928,0.746197954,0.2572954,1.40388264,11.5300884,37.6337039,53.6823412,30.8551,-0.94914,1.1,1,1,41.14,8,4,2.1,09-05-2023
173.1592,65.03156,334.7206,2.5304,0.746397331,0.433092,1.410551433,11.5644258,37.6252712,53.8195515,30.5866,-0.98145,1.1,1,6,21.28,8,30,10.9,10-05-2023
172.9691,64.34308,336.3882,2.466,0.746698105,0.6084046,1.417238398,11.5930247,37.6125516,53.9522095,30.3205,-1.01317,1.1,1,11,1.42,8,56,3.5,11-05-2023
172.7754,63.62842,338.0541,2.3995,0.74709994,0.7830387,1.423940241,11.6159652,37.5955652,54.0800793,30.057,-1.0443,1.1,1,15,41.58,9,21,39.3,12-05-2023
172.5773,62.88787,339.7179,2.331,0.747602388,0.9568017,1.43065373,11.633371,37.5743391,54.2029494,29.796,-1.07484,1.1,1,20,21.76,9,46,57.5,13-05-2023
172.3741,62.12177,341.3789,2.2607,0.748204891,1.129504,1.437375713,11.6454045,37.5489065,54.3206429,29.5376,-1.10478,1.1,1,25,1.97,10,11,57.6,14-05-2023
172.1655,61.33053,343.037,2.1887,0.748906783,1.3009593,1.444103143,11.6522596,37.5193074,54.433023,29.2821,-1.13413,1.1,1,29,42.2,10,36,39.1,15-05-2023
171.951,60.51463,344.6915,2.1149,0.749707291,1.4709853,1.45083309,11.6541531,37.4855879,54.5399972,29.0293,-1.16288,1.1,1,34,22.46,11,1,1.2,16-05-2023
